analysis,mass,intensity
20240815_67_BVCZ_1,147941.5625,3020.90262233444
20240815_67_BVCZ_1,147942.515625,3162.45378851879
20240815_67_BVCZ_1,147943.46875,3307.24254654297
20240815_67_BVCZ_1,147944.421875,3482.09007064752
20240815_67_BVCZ_1,147945.375,3646.92344493486
20240815_67_BVCZ_1,147946.328125,3805.70413816539
20240815_67_BVCZ_1,147947.296875,3967.67508987256
20240815_67_BVCZ_1,147948.25,4104.83316728715
20240815_67_BVCZ_1,147949.1875,4237.08679258341
20240815_67_BVCZ_1,147950.15625,4406.74892226808
20240815_67_BVCZ_1,147951.109375,4520.24599791503
20240815_67_BVCZ_1,147952.0625,4644.75865977906
20240815_67_BVCZ_1,147953.015625,4793.14286741604
20240815_67_BVCZ_1,147953.96875,4905.40980007296
20240815_67_BVCZ_1,147954.921875,5035.4544548877
20240815_67_BVCZ_1,147955.890625,5149.29060076159
20240815_67_BVCZ_1,147956.828125,5260.84201464891
20240815_67_BVCZ_1,147957.796875,5361.51277566594
20240815_67_BVCZ_1,147958.75,5496.2926582543
20240815_67_BVCZ_1,147959.703125,5583.89877258457
20240815_67_BVCZ_1,147960.671875,5679.20144003048
20240815_67_BVCZ_1,147961.609375,5797.48989766192
20240815_67_BVCZ_1,147962.5625,5878.0559726912
20240815_67_BVCZ_1,147963.53125,5959.65145999511
20240815_67_BVCZ_1,147964.328125,6068.77531229268
20240815_67_BVCZ_1,147964.484375,6128.77948957485
20240815_67_BVCZ_1,147965.28125,6200.17434457564
20240815_67_BVCZ_1,147965.4375,6302.45857761039
20240815_67_BVCZ_1,147966.203125,6365.38738809098
20240815_67_BVCZ_1,147966.390625,6419.57538829073
20240815_67_BVCZ_1,147967.15625,6507.39528814207
20240815_67_BVCZ_1,147967.34375,6564.13855343093
20240815_67_BVCZ_1,147968.109375,6609.10695313797
20240815_67_BVCZ_1,147968.296875,6681.90919633988
20240815_67_BVCZ_1,147969.046875,6685.72786746251
20240815_67_BVCZ_1,147969.25,6711.6284708655
20240815_67_BVCZ_1,147970,6774.45710217165
20240815_67_BVCZ_1,147970.203125,6769.6827778501
20240815_67_BVCZ_1,147970.953125,6776.2325327749
20240815_67_BVCZ_1,147971.15625,6813.72913376765
20240815_67_BVCZ_1,147971.890625,6813.4372970674
20240815_67_BVCZ_1,147972.109375,6826.94235365836
20240815_67_BVCZ_1,147972.84375,6837.95588934145
20240815_67_BVCZ_1,147973.078125,6799.03584964272
20240815_67_BVCZ_1,147973.78125,6754.83658060469
20240815_67_BVCZ_1,147974.03125,6737.17093972617
20240815_67_BVCZ_1,147974.734375,6661.21034490451
20240815_67_BVCZ_1,147974.96875,6582.55279579015
20240815_67_BVCZ_1,147975.671875,6552.90154617982
20240815_67_BVCZ_1,147975.9375,6462.86819156789
20240815_67_BVCZ_1,147976.625,6359.57582300328
20240815_67_BVCZ_1,147976.90625,6289.82073463664
20240815_67_BVCZ_1,147977.5625,6215.72294856383
20240815_67_BVCZ_1,147977.859375,6108.64038879987
20240815_67_BVCZ_1,147978.5,6029.95664524126
20240815_67_BVCZ_1,147978.8125,5944.8544015093
20240815_67_BVCZ_1,147979.453125,5862.74028232032
20240815_67_BVCZ_1,147979.765625,5818.72621927313
20240815_67_BVCZ_1,147980.40625,5753.5500878123
20240815_67_BVCZ_1,147980.71875,5675.33393286164
20240815_67_BVCZ_1,147981.359375,5634.53727322082
20240815_67_BVCZ_1,147981.671875,5587.51278187833
20240815_67_BVCZ_1,147982.296875,5519.54714704815
20240815_67_BVCZ_1,147982.625,5479.67995077015
20240815_67_BVCZ_1,147983.234375,5458.81369852929
20240815_67_BVCZ_1,147983.59375,5398.57510434903
20240815_67_BVCZ_1,147984.171875,5389.95546722674
20240815_67_BVCZ_1,147984.53125,5396.68541870137
20240815_67_BVCZ_1,147985.140625,5384.9862679421
20240815_67_BVCZ_1,147985.5,5393.78395442334
20240815_67_BVCZ_1,147986.078125,5453.42105735604
20240815_67_BVCZ_1,147986.453125,5398.75769447542
20240815_67_BVCZ_1,147987.03125,5362.09362633699
20240815_67_BVCZ_1,147987.390625,5382.55780265757
20240815_67_BVCZ_1,147987.96875,5331.34136678716
20240815_67_BVCZ_1,147988.34375,5307.97532920836
20240815_67_BVCZ_1,147988.921875,5303.85355218419
20240815_67_BVCZ_1,147989.3125,5254.68355937101
20240815_67_BVCZ_1,147989.53125,5186.44479305427
20240815_67_BVCZ_1,147989.84375,5155.48333338861
20240815_67_BVCZ_1,147990.28125,5059.93022509119
20240815_67_BVCZ_1,147990.453125,4982.09744472524
20240815_67_BVCZ_1,147990.8125,4955.82149502304
20240815_67_BVCZ_1,147991.21875,4915.64473684776
20240815_67_BVCZ_1,147991.40625,4815.41557425472
20240815_67_BVCZ_1,147991.75,4779.03941686251
20240815_67_BVCZ_1,147992.171875,4740.25154727084
20240815_67_BVCZ_1,147992.328125,4656.79798423282
20240815_67_BVCZ_1,147992.6875,4648.84270637178
20240815_67_BVCZ_1,147993.140625,4629.87139202493
20240815_67_BVCZ_1,147993.265625,4651.04558654978
20240815_67_BVCZ_1,147993.640625,4581.655643743
